Data taken from https://www.sustainablejersey.com/fileadmin/media/resources/Data_Center/Community_Profile_Data_by_Municipality_3.12.25.xlsx ,,,,,Population Characteristics,,,,,,,,,,,,,C&I Properties,General Housing Characteristics,,,,,,Units by Year Structure Built*,,,,,,,,,,Units by Structure Type,,,,,,,,,Occupied Housing Units Primary Heating Fuels,,,,,,,,,Vehicles Available by Occupied Household,,,,Means of Transportation to Work,,,,,,,
Municipality,County,ACS Year,Square Miles,Residential Density (Housing Units / Sq Mile),Population,% White,% Black or African American,% Hispanic or Latino Origin*,% American Indian and Alaska Native,% Asian alone,% Native Hawaiian and Other Pacific Islander alone,% Some other race alone,% Two or more races,Median Household Income,Percent of Population in Poverty,NJ DCA MRI Score*,NJ DCA MRI Rank*,Commercial & Industrial Properties,Total Housing Units*,Total Occupied Housing Units,% Occupied housing units,% Owner-occupied,% Renter-occupied,<75% Occupied*,2020 or later,2010 to 2019 *,2000 to 2009,1990 to 1999,1980 to 1989,1970 to 1979,1960 to 1969,1950 to 1959,1940 to 1949,1939 or earlier,"1-unit, detached","1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more,Mobile home,"Boat, RV, van, etc.",Utility gas,Electricity,"Bottled, tank, or LP gas","Fuel oil, kerosene, etc.",Coal or coke,Wood,Solar Energy,Other fuel,No fuel used,No vehicles available,1 vehicle available,2 vehicles available,3 or more vehicles available,Total Workers 16 Years and Over,"Car, truck, or van -- drove alone","Car, truck, or van -- carpooled",Public transportation (excluding taxicab),Walked,Other means,Worked from home,Mean travel time to work (minutes)
River Edge Boro,Bergen,2023,1.8,"2,488","12,024",54.70%,4.70%,8.70%,0.00%,28.40%,0.00%,0.00%,3.40%,"$155,827",3.20%,21,453,126,"4,479","4,377",98%,76%,24%,,0,199,208,155,171,299,546,"1,029","1,109",763,"3,261",135,10,679,118,12,249,15,0,85.90%,6.90%,2.70%,3.00%,0.00%,0.00%,0.40%,0.60%,0.40%,325,"1,207","1,991",854,"6,333",59.40%,7.80%,10.50%,0.40%,1.80%,20.10%,34.7
River Vale Twp,Bergen,2023,4.1,873,"9,933",75.70%,1.50%,9.20%,0.00%,11.00%,0.00%,0.10%,2.50%,"$199,021",2.70%,21.8,421,33,"3,578","3,521",98%,90%,10%,,75,173,173,141,484,660,591,"1,045",77,159,"2,744",323,59,75,13,69,295,0,0,85.90%,12.20%,0.50%,0.90%,0.00%,0.00%,0.00%,0.40%,0.20%,91,845,"1,594",991,"4,872",56.00%,4.10%,10.90%,2.00%,1.30%,25.60%,35.7
Riverdale Boro,Morris,2023,2,"1,019","4,084",75.20%,1.70%,15.40%,0.00%,3.20%,0.00%,0.20%,4.30%,"$96,667",10.10%,25.2,357,135,"2,038","1,988",98%,71%,29%,,0,333,556,270,0,0,134,485,59,201,777,59,77,108,194,15,808,0,0,73.40%,18.30%,4.20%,4.10%,0.00%,0.00%,0.00%,0.00%,0.00%,111,789,783,305,"2,256",81.60%,2.60%,2.20%,0.00%,0.00%,13.70%,29.8
Riverside Twp,Burlington,2023,1.5,"2,218","8,017",59.50%,8.80%,19.90%,0.20%,1.20%,0.00%,1.80%,8.60%,"$74,932",17.50%,46.6,52,173,"3,327","3,034",91%,56%,44%,,28,0,66,121,93,335,360,622,272,"1,430","1,796",549,445,96,196,93,117,35,0,73.00%,17.10%,2.50%,6.90%,0.00%,0.00%,0.00%,0.20%,0.40%,293,"1,085","1,163",493,"4,215",69.00%,15.40%,2.30%,2.50%,2.80%,7.90%,28.8
Riverton Boro,Burlington,2023,0.7,"1,499","2,771",79.30%,4.80%,10.40%,0.00%,1.80%,0.00%,1.00%,2.70%,"$126,818",2.80%,21.4,434,49,"1,049","1,014",97%,78%,22%,,0,7,29,9,44,26,11,163,65,695,721,122,41,95,63,0,7,0,0,83.00%,4.00%,0.70%,11.50%,0.00%,0.00%,0.00%,0.00%,0.70%,16,258,465,275,"1,468",75.70%,3.90%,2.80%,0.30%,0.60%,16.60%,27.9
Robbinsville Twp,Mercer,2023,20.4,298,"15,432",56.60%,2.40%,6.10%,0.00%,30.30%,0.00%,0.10%,4.50%,"$162,813",3.40%,17.9,520,188,"6,084","5,904",97%,82%,19%,,0,334,"1,260","1,738","1,592",420,379,99,109,153,"2,806","1,870",73,210,310,116,557,142,0,79.60%,11.90%,1.30%,6.70%,0.00%,0.50%,0.00%,0.00%,0.00%,295,"1,751","2,632","1,226","7,981",61.50%,4.40%,4.80%,1.20%,0.80%,27.20%,34.5
Rochelle Park Twp,Bergen,2023,1,"2,377","5,820",54.30%,3.90%,25.80%,0.30%,10.40%,0.00%,0.10%,5.20%,"$118,259",5.50%,30.7,225,146,"2,377","2,309",97%,80%,20%,,25,85,88,68,42,19,456,762,319,513,"1,854",18,164,20,0,100,221,0,0,85.60%,6.60%,3.60%,1.90%,0.00%,0.00%,0.00%,2.30%,0.00%,112,865,730,602,"3,059",78.00%,4.20%,6.10%,0.00%,0.80%,10.80%,26.1
Rockaway Boro,Morris,2023,2.1,"1,301","6,589",67.50%,0.70%,19.90%,0.00%,7.80%,0.00%,0.00%,4.10%,"$100,028",6.30%,31.5,216,201,"2,732","2,660",97%,58%,42%,,0,97,35,123,227,501,394,490,165,700,"1,404",129,106,123,290,263,354,63,0,66.60%,22.40%,0.00%,10.90%,0.00%,0.00%,0.00%,0.00%,0.00%,328,907,798,627,"3,669",74.40%,6.40%,1.10%,2.30%,0.00%,15.80%,26
Rockaway Twp,Morris,2023,41.7,239,"25,810",71.70%,1.70%,17.10%,0.00%,5.80%,0.00%,0.70%,3.10%,"$139,383",3.70%,21.7,423,200,"9,954","9,415",95%,82%,18%,,254,790,"1,015","1,254",965,"1,137","1,579","2,171",398,391,"6,915",726,72,248,421,322,"1,201",49,0,59.90%,10.00%,5.10%,23.60%,0.10%,0.70%,0.20%,0.30%,0.10%,265,"2,431","4,216","2,503","13,345",68.00%,4.30%,1.90%,1.40%,0.00%,24.40%,30
Rockleigh Boro,Bergen,2023,1,89,519,82.30%,2.50%,6.40%,0.20%,5.80%,0.00%,0.00%,2.90%,"$166,875",12.50%,26,342,15,89,83,93%,76%,24%,,5,8,0,18,6,5,6,5,3,33,79,2,1,0,2,0,5,0,0,89.20%,9.60%,1.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,12,34,32,114,62.30%,4.40%,2.60%,0.90%,0.90%,28.90%,30.4
Rocky Hill Boro,Somerset,2023,0.6,532,814,80.70%,0.90%,8.50%,0.00%,4.10%,0.00%,1.20%,4.70%,"$127,344",4.30%,21.5,432,12,319,319,100%,76%,24%,,3,3,0,3,16,13,103,37,11,130,231,24,12,11,41,0,0,0,0,78.10%,11.90%,0.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,132,129,58,429,62.90%,6.50%,1.20%,1.40%,0.70%,27.30%,25.4
Roosevelt Boro,Monmouth,2023,1.9,198,"1,059",61.30%,0.70%,34.40%,0.00%,1.30%,0.00%,0.00%,2.40%,"$112,614",0.80%,24.7,371,5,376,361,96%,83%,18%,,7,0,3,4,57,31,19,17,34,204,267,92,10,0,6,0,1,0,0,95.00%,3.60%,0.00%,1.10%,0.00%,0.30%,0.00%,0.00%,0.00%,11,95,179,76,463,77.50%,1.10%,1.30%,0.00%,0.40%,19.70%,39.1
Roseland Boro,Essex,2023,3.6,686,"6,211",71.90%,0.50%,7.20%,0.00%,12.30%,0.00%,0.20%,7.90%,"$160,644",2.30%,19.3,487,91,"2,470","2,445",99%,81%,19%,,0,34,505,207,404,267,385,282,62,324,"1,459",633,30,79,83,83,103,0,0,81.20%,15.50%,1.10%,1.80%,0.00%,0.00%,0.00%,0.40%,0.00%,64,647,"1,277",457,"3,245",69.60%,3.50%,7.60%,0.50%,0.00%,18.70%,31.7
Roselle Boro,Union,2023,2.6,"3,242","22,455",14.00%,44.70%,36.10%,0.00%,1.10%,0.00%,2.50%,1.70%,"$82,967",10.40%,40.7,103,306,"8,430","8,206",97%,52%,48%,,64,695,244,312,242,543,"1,304","1,757",795,"2,474","4,216",320,"1,422",523,490,479,965,15,0,77.70%,10.70%,4.20%,4.20%,0.30%,0.00%,0.00%,1.20%,1.60%,925,"3,385","2,553","1,343","11,700",67.10%,6.10%,12.20%,1.50%,4.80%,8.30%,31.8
Roselle Park Boro,Union,2023,1.2,"4,478","13,965",37.00%,9.40%,36.40%,0.00%,13.30%,0.00%,1.80%,2.10%,"$104,418",5.10%,30.1,244,193,"5,373","5,236",97%,60%,40%,,46,53,0,163,199,512,893,984,969,"1,554","3,055",96,309,480,128,329,976,0,0,80.90%,9.10%,1.10%,8.30%,0.00%,0.00%,0.00%,0.60%,0.00%,156,"1,849","2,069","1,162","8,215",77.40%,5.10%,5.50%,0.80%,1.70%,9.60%,26.5
Roxbury Twp,Morris,2023,20.9,410,"23,111",71.00%,4.90%,13.70%,0.00%,5.00%,0.00%,0.10%,5.40%,"$130,235",5.40%,26.4,332,438,"8,575","8,232",96%,86%,14%,,30,148,669,996,"1,107","1,558","1,438","1,098",553,978,"6,983",336,156,160,435,269,224,0,12,56.90%,6.50%,4.20%,31.20%,0.00%,0.20%,0.10%,0.60%,0.30%,263,"1,656","3,652","2,661","12,085",73.50%,6.00%,3.30%,0.40%,1.30%,15.40%,34.3
Rumson Boro,Monmouth,2023,5.1,482,"7,265",93.20%,0.10%,3.80%,0.00%,0.60%,0.00%,0.40%,2.10%,"250,000+",3.20%,11.9,561,66,"2,459","2,352",96%,93%,7%,,49,221,383,65,211,207,249,377,130,567,"2,379",35,22,12,11,0,0,0,0,87.10%,9.40%,0.00%,3.50%,0.00%,0.00%,0.00%,0.00%,0.00%,31,426,"1,046",849,"3,279",46.60%,2.10%,15.80%,5.10%,2.10%,28.20%,43.5
Runnemede Boro,Camden,2023,2.1,"1,637","8,310",76.10%,5.50%,12.60%,0.00%,2.70%,0.00%,0.00%,3.10%,"$100,366",9.60%,37.4,125,166,"3,437","3,125",91%,71%,29%,,0,26,60,119,104,324,800,"1,097",345,562,"2,571",38,146,28,54,364,236,0,0,84.20%,8.00%,0.00%,4.80%,0.00%,0.20%,0.00%,0.50%,2.30%,236,911,"1,362",616,"4,271",76.10%,8.60%,1.50%,2.20%,1.50%,10.10%,26.1
Rutherford Boro,Bergen,2023,2.8,"2,558","18,748",57.50%,3.00%,21.70%,0.00%,14.30%,0.10%,0.30%,3.30%,"$136,069",4.80%,24.6,379,278,"7,163","6,955",97%,63%,37%,,37,210,174,236,293,372,384,"1,397","1,019","3,041","4,012",138,"1,164",269,335,395,745,105,0,77.90%,9.90%,3.60%,7.10%,0.00%,0.00%,0.00%,0.40%,1.10%,403,"2,810","2,592","1,150","10,182",55.20%,2.50%,17.90%,1.30%,2.90%,20.20%,34.6
Saddle Brook Twp,Bergen,2023,2.7,"2,021","14,349",60.80%,3.70%,23.90%,0.00%,7.80%,0.10%,0.00%,3.70%,"$125,935",5.40%,27.1,313,222,"5,457","5,358",98%,67%,34%,,74,478,334,161,362,523,610,"1,562",788,565,"3,409",178,681,352,0,143,694,0,0,76.60%,15.20%,3.10%,4.50%,0.00%,0.00%,0.00%,0.00%,0.60%,179,"1,708","2,373","1,098","7,958",71.40%,5.60%,6.60%,0.80%,1.20%,14.30%,23.2
Saddle River Boro,Bergen,2023,4.9,305,"3,358",73.10%,5.30%,6.60%,0.50%,11.70%,0.50%,0.00%,2.30%,"$236,985",4.80%,17.4,521,20,"1,495","1,372",92%,86%,14%,,0,104,127,179,528,164,41,247,0,105,"1,253",125,11,0,0,0,106,0,0,89.10%,9.30%,0.00%,1.70%,0.00%,0.00%,0.00%,0.00%,0.00%,113,183,620,456,"1,617",71.50%,1.70%,1.60%,0.60%,0.00%,24.60%,25.4
Salem City,Salem,2023,2.3,"1,256","5,315",30.20%,56.20%,8.80%,0.00%,0.50%,0.00%,0.00%,4.40%,"$40,650",31.20%,95.5,2,129,"2,889","2,216",77%,35%,65%,,6,79,52,68,134,184,276,311,484,"1,295",997,636,293,447,141,274,88,13,0,52.50%,22.00%,1.70%,23.10%,0.00%,0.20%,0.00%,0.00%,0.60%,628,918,451,219,"1,985",60.80%,20.10%,4.20%,0.80%,1.50%,12.70%,28
Sandyston Twp,Sussex,2023,41.3,22,"1,924",90.50%,0.00%,2.00%,0.00%,0.20%,0.00%,0.00%,7.30%,"$104,609",2.00%,24.2,383,51,907,801,88%,96%,4%,,0,17,113,51,78,99,66,214,90,179,848,34,0,9,0,0,0,16,0,2.10%,4.90%,11.60%,63.40%,1.00%,16.50%,0.00%,0.50%,0.00%,21,198,323,259,963,79.10%,8.20%,1.00%,0.00%,0.00%,11.60%,36.2
Sayreville Boro,Middlesex,2023,15.8,"1,103","45,237",45.60%,12.40%,21.20%,0.20%,16.80%,0.00%,0.80%,3.00%,"$98,629",6.00%,29.5,254,464,"17,435","16,853",97%,63%,37%,,49,857,"1,488","1,365","3,210","2,442","3,314","3,029",461,"1,220","8,987","2,418","1,135",879,"1,206","1,558","1,243",0,9,82.80%,10.90%,1.60%,3.20%,0.00%,0.00%,0.10%,0.60%,0.90%,961,"5,493","6,091","4,308","23,537",70.40%,10.10%,5.50%,0.60%,3.00%,10.40%,32
Scotch Plains Twp,Union,2023,9,"1,004","24,667",64.90%,5.80%,12.50%,0.00%,11.00%,0.00%,0.30%,5.60%,"$173,564",2.80%,17.9,519,245,"9,037","8,751",97%,81%,19%,,67,323,490,417,437,949,"1,503","3,011",668,"1,172","6,840",415,495,321,41,273,652,0,0,86.40%,7.60%,0.80%,3.80%,0.00%,0.00%,0.20%,0.00%,1.20%,179,"2,261","4,185","2,126","12,162",61.90%,4.40%,9.40%,0.10%,0.50%,23.60%,35.2
Sea Bright Boro,Monmouth,2023,0.7,"1,621","1,657",94.80%,0.00%,2.50%,0.00%,1.20%,0.00%,0.50%,1.00%,"$127,738",8.10%,24.7,373,66,"1,135",918,81%,73%,27%,,8,87,92,24,255,331,86,104,8,140,321,266,70,35,92,117,234,0,0,64.40%,34.70%,0.00%,0.90%,0.00%,0.00%,0.00%,0.00%,0.00%,42,461,307,108,903,59.90%,2.30%,14.40%,3.50%,4.50%,15.30%,37.6
Sea Girt Boro,Monmouth,2023,1.1,"1,080","1,978",97.90%,0.10%,2.00%,0.10%,0.00%,0.00%,0.00%,0.00%,"$206,000",2.90%,12,560,42,"1,188",810,68%,87%,13%,Yes,22,150,132,55,65,80,114,242,160,168,"1,138",3,21,8,0,0,18,0,0,93.70%,2.20%,0.00%,4.10%,0.00%,0.00%,0.00%,0.00%,0.00%,18,195,358,239,811,64.10%,2.60%,3.60%,0.70%,2.20%,26.80%,30.7
Sea Isle City,Cape May,2023,2.2,"3,054","2,079",96.70%,0.10%,1.90%,0.00%,0.00%,0.00%,0.00%,1.20%,"$98,860",4.70%,24.6,376,189,"6,719","1,125",17%,94%,6%,Yes,49,779,"1,801",855,"1,705",771,264,171,100,224,954,"3,929",800,133,321,213,369,0,0,76.70%,21.70%,0.30%,0.60%,0.00%,0.00%,0.00%,0.00%,0.70%,56,496,394,179,746,74.00%,2.90%,1.30%,3.40%,0.70%,17.70%,30.4
Seaside Heights Boro,Ocean,2023,0.6,"4,678","1,992",78.30%,0.00%,16.50%,0.00%,1.30%,0.00%,3.50%,0.40%,"$58,988",34.40%,89.2,4,149,"2,807","1,075",38%,40%,60%,Yes,0,194,147,39,350,278,196,465,693,445,"1,127",22,440,522,304,190,202,0,0,72.60%,16.40%,3.40%,7.60%,0.00%,0.00%,0.00%,0.00%,0.00%,268,404,344,59,826,70.70%,2.80%,4.00%,9.20%,5.70%,7.60%,31.5
Seaside Park Boro,Ocean,2023,0.7,"3,900","1,804",91.20%,2.40%,1.40%,0.00%,3.60%,0.00%,0.00%,1.30%,"$83,333",13.00%,31.5,215,47,"2,730",938,34%,74%,27%,Yes,59,214,134,64,470,157,213,369,275,775,"1,648",90,387,261,181,78,72,13,0,82.40%,11.90%,3.10%,0.50%,0.40%,0.00%,0.40%,1.20%,0.00%,15,365,368,190,711,80.90%,1.10%,3.00%,1.80%,0.70%,12.50%,29.5
Secaucus Town,Hudson,2023,5.8,"1,571","21,437",35.80%,5.20%,19.40%,0.10%,34.50%,0.00%,0.60%,4.50%,"$134,746",6.00%,25.3,352,418,"9,109","8,525",94%,49%,51%,,12,"1,799","1,015",572,"1,133","1,222",903,"1,047",200,"1,206","2,378",979,"1,318",637,86,431,"3,242",21,17,68.50%,25.80%,2.50%,1.80%,0.00%,0.00%,0.30%,0.00%,1.00%,898,"3,839","2,982",806,"11,005",49.80%,7.20%,17.00%,2.40%,0.60%,23.00%,32.1
Shamong Twp,Burlington,2023,44.5,52,"6,479",91.90%,0.70%,2.00%,0.00%,4.20%,0.00%,0.00%,1.20%,"$124,836",1.60%,23.3,397,54,"2,296","2,296",100%,96%,4%,,21,17,171,323,528,966,86,34,0,150,"2,099",0,0,0,0,0,14,183,0,69.00%,6.50%,5.10%,18.90%,0.00%,0.60%,0.00%,0.00%,0.00%,16,232,"1,080",968,"3,261",77.00%,5.90%,0.00%,0.00%,0.00%,17.10%,34.9
Shiloh Boro,Cumberland,2023,1.2,105,283,67.10%,1.10%,21.60%,0.00%,5.70%,0.00%,0.00%,4.60%,"$86,250",3.50%,40.4,106,13,126,113,90%,92%,8%,,0,0,4,4,2,11,30,18,4,53,116,0,3,0,0,0,7,0,0,45.10%,8.00%,0.00%,45.10%,0.00%,1.80%,0.00%,0.00%,0.00%,4,39,38,32,133,82.00%,15.00%,0.00%,0.00%,2.30%,0.80%,27.4
Ship Bottom Boro,Ocean,2023,0.7,"3,020","1,009",93.30%,0.00%,3.50%,0.00%,1.80%,0.00%,0.20%,1.30%,"$111,250",3.50%,20.9,457,139,"2,114",504,24%,91%,9%,Yes,17,192,287,123,238,173,338,287,195,264,"1,762",29,135,97,30,9,52,0,0,84.70%,14.70%,0.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8,193,213,90,420,69.00%,5.70%,5.00%,1.90%,2.10%,16.20%,31.1
Shrewsbury Boro,Monmouth,2023,2.2,694,"4,162",85.30%,4.30%,1.80%,0.20%,3.80%,0.00%,1.20%,3.40%,"$144,500",3.60%,18,517,171,"1,526","1,492",98%,84%,16%,,0,280,55,148,125,48,93,476,95,206,"1,305",88,0,0,0,0,133,0,0,88.90%,3.00%,1.30%,6.70%,0.00%,0.00%,0.00%,0.00%,0.00%,127,292,663,410,"1,734",68.10%,0.50%,7.60%,1.40%,0.00%,22.40%,31.3
Shrewsbury Twp,Monmouth,2023,0.1,"5,250","1,207",47.10%,9.50%,15.70%,0.00%,8.50%,0.00%,0.30%,19.00%,"$80,833",12.30%,34.1,174,0,525,494,94%,69%,31%,,0,4,0,0,72,37,112,57,180,63,29,338,36,31,65,9,9,4,4,81.60%,13.60%,2.40%,1.60%,0.00%,0.00%,0.00%,0.00%,0.80%,43,203,169,79,829,75.60%,8.90%,1.10%,3.00%,2.70%,8.70%,19.5
Somerdale Boro,Camden,2023,1.4,"1,624","5,535",54.20%,27.30%,9.30%,0.00%,2.90%,0.00%,0.00%,6.30%,"$79,101",15.50%,37.8,123,147,"2,273","2,252",99%,78%,22%,,0,132,61,144,237,363,406,660,148,122,"1,663",180,55,42,44,115,174,0,0,80.90%,13.60%,1.10%,3.00%,0.00%,0.00%,0.20%,1.00%,0.30%,150,827,822,453,"2,765",76.00%,7.50%,3.50%,1.10%,0.00%,11.80%,23.5
Somers Point City,Atlantic,2023,4,"1,433","10,461",69.80%,9.10%,15.70%,0.10%,4.40%,0.00%,0.00%,0.90%,"$68,542",11.20%,44.3,67,272,"5,730","4,720",82%,51%,49%,,42,10,419,337,713,"1,289","1,340",839,260,481,"2,940",325,311,279,421,896,553,5,0,81.50%,10.70%,2.90%,0.70%,0.00%,0.30%,0.20%,1.10%,2.60%,595,"1,850","1,611",664,"5,173",77.30%,4.50%,1.20%,6.20%,1.90%,8.90%,23.1
Somerville Boro,Somerset,2023,2.3,"2,490","12,958",52.20%,10.50%,22.50%,0.10%,11.00%,0.00%,0.40%,3.30%,"$103,869",6.20%,33.4,184,393,"5,726","5,604",98%,45%,56%,,189,385,74,96,350,539,"1,020","1,117",518,"1,438","2,423",141,679,447,376,249,"1,411",0,0,66.00%,24.70%,1.90%,5.20%,0.00%,0.00%,0.10%,0.40%,1.70%,516,"2,400","1,950",738,"7,609",64.30%,7.90%,2.90%,5.90%,3.10%,15.90%,25.7
South Amboy City,Middlesex,2023,1.5,"2,907","9,714",62.00%,8.70%,20.50%,0.00%,4.40%,0.00%,2.20%,2.20%,"$110,125",7.50%,32.3,206,150,"4,361","4,140",95%,55%,45%,,0,476,714,226,190,184,335,274,274,"1,688","1,965",644,610,356,352,0,420,14,0,84.40%,8.60%,3.40%,2.50%,0.00%,0.30%,0.00%,0.70%,0.00%,416,"1,457","1,634",633,"5,390",68.20%,11.40%,8.80%,0.50%,0.70%,10.30%,33.2
South Bound Brook Boro,Somerset,2023,0.6,"3,117","4,833",41.60%,13.70%,38.10%,0.00%,3.00%,0.00%,0.60%,3.10%,"$102,019",16.40%,36.2,139,40,"1,870","1,829",98%,57%,43%,,14,52,128,0,286,330,310,257,233,260,"1,146",130,242,139,120,45,48,0,0,76.50%,16.50%,5.20%,1.40%,0.00%,0.00%,0.00%,0.40%,0.00%,146,484,777,422,"2,520",74.10%,11.20%,1.80%,0.00%,3.90%,9.00%,26.3
South Brunswick Twp,Middlesex,2023,40.6,422,"46,686",34.90%,5.40%,7.20%,0.00%,48.30%,0.10%,0.90%,3.30%,"$145,575",4.00%,22.3,414,583,"17,134","16,844",98%,76%,24%,,69,"1,466","1,439","4,101","4,377","2,216","1,568","1,149",317,432,"9,581","3,297",419,275,895,"1,385",764,518,0,86.20%,10.20%,1.60%,1.40%,0.00%,0.20%,0.10%,0.00%,0.40%,681,"4,871","7,588","3,704","24,996",61.40%,5.10%,5.30%,0.50%,1.40%,26.20%,34.7
South Hackensack Twp,Bergen,2023,0.7,"1,386","2,771",37.50%,2.40%,52.50%,0.00%,5.90%,0.00%,0.00%,1.70%,"$82,750",15.30%,35.5,151,220,970,932,96%,51%,49%,,0,43,89,74,63,127,232,161,69,112,489,95,334,0,0,14,38,0,0,82.60%,10.70%,0.50%,4.80%,0.00%,0.00%,0.00%,0.60%,0.60%,76,330,345,181,"1,468",74.90%,9.10%,5.40%,2.40%,2.00%,6.20%,22.1
South Harrison Twp,Gloucester,2023,15.9,71,"3,411",87.60%,1.20%,5.50%,0.00%,0.70%,0.00%,0.00%,5.00%,"$131,103",9.00%,25,363,28,"1,133","1,115",98%,95%,5%,,5,105,264,145,184,140,125,62,0,103,"1,080",12,0,0,0,0,0,41,0,61.30%,7.10%,11.00%,17.00%,0.00%,2.60%,0.90%,0.00%,0.00%,0,176,509,430,"1,397",65.30%,5.40%,1.10%,0.50%,1.00%,26.70%,31.3
South Orange Village Twp,Essex,2023,2.8,"2,182","18,299",58.30%,21.20%,8.40%,0.00%,5.90%,0.00%,0.90%,5.30%,"$187,583",6.40%,19.4,485,167,"6,110","5,932",97%,66%,34%,,0,476,309,170,404,197,450,740,507,"2,857","3,471",336,285,112,58,399,"1,434",15,0,76.80%,13.30%,2.80%,6.30%,0.20%,0.00%,0.00%,0.70%,0.00%,723,"2,294","2,256",659,"9,015",36.60%,3.00%,24.90%,5.00%,2.30%,28.20%,38
South Plainfield Boro,Middlesex,2023,8.3,"1,017","24,231",50.60%,10.70%,18.60%,0.10%,16.00%,0.00%,0.90%,3.10%,"$126,063",3.60%,25.5,350,552,"8,443","8,280",98%,85%,15%,,38,491,786,375,541,943,"1,332","2,522",804,611,"6,645",390,445,74,101,339,448,1,0,84.10%,8.90%,1.80%,3.10%,0.00%,0.20%,0.10%,0.30%,1.50%,223,"1,708","3,892","2,457","12,402",75.60%,8.00%,2.10%,1.30%,0.80%,12.30%,28
South River Boro,Middlesex,2023,2.8,"2,068","16,007",53.40%,10.40%,26.70%,0.00%,4.10%,0.20%,2.30%,2.90%,"$101,853",11.30%,41.3,94,209,"5,789","5,570",96%,66%,34%,,0,162,296,324,322,508,959,"1,323",521,"1,374","4,369",84,409,178,139,368,242,0,0,85.70%,9.20%,1.50%,2.10%,0.00%,0.00%,0.00%,0.40%,1.00%,272,"2,107","2,017","1,174","7,807",72.40%,10.90%,1.90%,1.90%,6.30%,6.60%,32.9
South Toms River Boro,Ocean,2023,1.2,927,"3,701",40.90%,10.40%,41.20%,0.00%,1.50%,0.00%,0.00%,5.90%,"$101,466",5.30%,39.5,114,59,"1,112","1,066",96%,82%,18%,,0,13,103,0,57,119,588,169,22,41,"1,112",0,0,0,0,0,0,0,0,90.40%,3.80%,1.20%,3.00%,0.00%,1.20%,0.30%,0.00%,0.00%,44,189,449,384,"1,838",76.80%,11.00%,0.00%,0.20%,7.70%,4.20%,27.6
Southampton Twp,Burlington,2023,44,109,"10,320",87.30%,1.20%,6.40%,0.00%,1.10%,0.00%,0.70%,3.30%,"$88,793",5.90%,30.4,237,188,"4,781","4,499",94%,95%,6%,,0,40,403,405,843,"1,549",652,333,73,483,"4,481",147,0,45,0,0,13,95,0,22.90%,38.10%,7.80%,26.70%,0.00%,2.40%,0.60%,1.20%,0.10%,201,"1,653","1,652",993,"4,277",79.80%,3.90%,1.90%,0.70%,0.00%,13.60%,34.2
Sparta Twp,Sussex,2023,36.8,212,"19,903",82.80%,0.80%,8.60%,0.00%,3.80%,0.00%,0.70%,3.30%,"$167,371",3.10%,20.2,474,374,"7,789","7,355",94%,90%,10%,,51,133,968,985,"1,010",999,816,"1,012",525,"1,290","6,739",587,12,171,0,35,151,94,0,25.70%,7.90%,14.60%,48.80%,0.10%,1.10%,0.00%,1.50%,0.30%,284,"1,536","3,603","1,932","10,341",70.70%,5.50%,1.70%,2.10%,0.40%,19.50%,37.9
Spotswood Boro,Middlesex,2023,2.3,"1,433","8,112",75.90%,1.40%,12.30%,0.30%,7.60%,0.00%,0.40%,2.10%,"$101,388",3.40%,29.3,260,62,"3,297","3,255",99%,84%,16%,,0,78,176,287,533,398,656,743,294,132,"2,203",188,0,43,17,102,289,455,0,76.90%,7.30%,7.30%,5.60%,0.00%,0.00%,0.00%,3.00%,0.00%,290,879,"1,282",804,"3,800",76.10%,6.40%,2.50%,1.40%,0.50%,13.10%,30.7
Spring Lake Boro,Monmouth,2023,1.3,"1,532","2,782",95.40%,0.10%,1.30%,0.00%,0.00%,0.00%,0.00%,3.20%,"$146,976",3.10%,18.8,502,94,"1,991","1,301",65%,88%,12%,Yes,49,305,335,34,105,78,38,219,153,675,"1,746",86,24,20,0,0,115,0,0,87.10%,10.20%,0.00%,1.40%,0.00%,0.00%,0.00%,1.30%,0.00%,33,351,676,241,979,63.80%,0.00%,5.40%,3.90%,0.00%,26.90%,34.9
Spring Lake Heights Boro,Monmouth,2023,1.3,"2,110","4,866",91.10%,0.00%,5.80%,0.00%,1.60%,0.00%,0.00%,1.60%,"$102,829",4.20%,22.4,412,76,"2,743","2,358",86%,60%,40%,,11,38,176,140,512,693,660,346,25,142,"1,214",588,85,216,104,336,200,0,0,65.40%,27.10%,0.90%,5.90%,0.00%,0.00%,0.00%,0.60%,0.00%,132,"1,262",581,383,"2,798",68.90%,2.80%,5.20%,1.50%,3.00%,18.60%,27.7
Springfield Twp (Burlington),Burlington,2023,29.5,43,"3,239",86.90%,2.40%,7.10%,0.00%,1.40%,0.00%,0.50%,1.70%,"$143,343",6.80%,23.9,388,75,"1,260","1,194",95%,95%,5%,,20,131,134,193,191,177,132,84,56,142,"1,224",24,6,0,0,6,0,0,0,26.00%,4.90%,19.80%,45.10%,0.00%,3.40%,0.00%,0.80%,0.00%,21,127,556,490,"1,814",80.50%,5.10%,0.90%,1.30%,0.00%,12.30%,30
